app_id,app_name,category,genres,current_ver
201,AG Track,Tools,Tools,3.3
202,AG test,Tools,Tools,1.0.2
203,AH Alarm Panel,Tools,Tools,1.2.0
204,AH Connect Adventist Health,Health_And_Fitness,Health & Fitness,3.5.1
205,AH Kollection for KLWP,Personalization,Personalization,Version 1.20
206,AH Lake Villa,Medical,Medical,300000.0.78
207,AH Soundboard,Family,Entertainment,1.1
208,AH of Rocky Hill,Medical,Medical,300000.0.93
209,AH-1 Viper Cobra Ops - helicopter flight simulator,Game,Action,1.0.1
210,AI Benchmark,Tools,Tools,2.0.0
211,AI Draw  Art Filter for Selfie,Photography,Photography,1.4.7
212,AI Face Beauty Analysis - IntelliFace Free,Beauty,Beauty,20
213,AI Image Recognizer beta,Photography,Photography,closed
214,AI Sight,Productivity,Productivity,1.2
215,AI Today  Artificial Intelligence News & AI 101,News_And_Magazines,News & Magazines,1.0
216,AI with Python Tutorial,Family,Education,1.0.4
217,AJ,Maps_And_Navigation,Maps & Navigation,1.0.0.0
218,AJ AUTO,Auto_And_Vehicles,Auto & Vehicles,1.0.0
219,AJ Academy Amazing Animals,Family,EducationalEducation,1.1.0
220,AJ Bell Youinvest,Finance,Finance,2.13.0.65
221,AJ Blue Icon Pack,Personalization,Personalization,1.1
222,AJ Cam,Photography,Photography,1.0
223,AJ Concept Group App,House_And_Home,House & Home,3.0
224,AJ Gray Dark Icon Pack,Personalization,Personalization,1.1
225,AJ Gray Icon Pack,Personalization,Personalization,1.1
226,AJ Green Wallpapers 4 Fans,Lifestyle,Lifestyle,1.0
227,AJ Jump Animal Jam Kangaroos,Game,Arcade,1.6
228,AJ Mens Grooming,Lifestyle,Lifestyle,5
229,AJ Nails Supply,Shopping,Shopping,1.0
230,AJ Official,Family,Education,0.1
231,AJ Orange Icon Pack,Personalization,Personalization,1.1
232,AJ Percent Off Calculator,Shopping,Shopping,1.2
233,AJ Player,Video_Players,Video Players & Editors,1.6.3.1
234,AJ RETAILS,Shopping,Shopping,18060104
235,AJ Rafael Music Lessons,Family,Entertainment,1.2.1
236,AJ Rafael Music Lyrics,Family,Entertainment,2.0
237,AJ Reminders,Maps_And_Navigation,Maps & Navigation,1.0
238,AJ Styles HD Wallpapers,Art_And_Design,Art & Design,1.1.1
239,AJ Styles HD Wallpapers 2018,Photography,Photography,1.0
240,AJ Styles Wallpaper 2018 - AJ Styles HD Wallpaper,Art_And_Design,Art & Design,1.1
241,AJ Tracey Music and Lyrics,Family,Entertainment,1.0
242,AJ Turquoise Dark Icon Pack,Personalization,Personalization,1.1
243,AJ Wallpapers,Personalization,Personalization,2.0
244,AJ and Alyssa,Lifestyle,Lifestyle,1.0.0
245,AJ-COMICS,Food_And_Drink,Food & Drink,0.1.0
246,AK 47 Assault Rifle Wallpapers,Personalization,Personalization,1.0
247,AK 47 Guns Wallpaper,Personalization,Personalization,1.0
248,AK 47 Live Wallpaper,Personalization,Personalization,1.3
249,AK 47 Lock Screen,Personalization,Personalization,1.0
250,AK Blackjack,Game,Card,1.3
251,AK Booster,Tools,Tools,2.0.1.966
252,AK Interactive,Family,Entertainment,2.5
253,AK Lodi Films,Video_Players,Video Players & Editors,1.1
254,AK Math Coach,Family,Education,1.3
255,AK Phone,Communication,Communication,3.8.8
256,AK-47 3D,Game,Action,3.2
257,AK-47 Assault Rifle,Family,Entertainment,1.0
258,AK-47 Assult Rifle Gun Shooting Simulator Game,Game,Action,2.0
259,AK-47 Simulation and Info,Family,Entertainment,2.0.0
260,AK-47 Simulator and Shooting,Family,Simulation,1.3.0
261,AK-47 Sounds,Family,Entertainment,2.0
262,AK-47 guns Sounds,Family,Entertainment,666
263,AK-47 sounds,Family,Entertainment,568
264,AK47 Assault Rifle,Tools,Tools,1.0.0.1
265,AKASO DV,Tools,Tools,V1.0.9
266,AL Voice Recorder,Productivity,Productivity,2.1.7.3
267,ALL-IN-ONE PACKAGE TRACKING,Productivity,Productivity,3.1.1281
268,ALPHA - Artificial Intelligence,Family,Entertainment,1.3.4
269,ALcom,News_And_Magazines,News & Magazines,3.7.10-0d44b899
270,ALcom Alabama Football News,Sports,Sports,3.7.10-0d44b899
271,AMBW Dating App Asian Men Black Women Interracial,Dating,Dating,1.0.1
272,AMC,Family,Entertainment,3.3.85 2
273,AMC Theatres,Entertainment,Entertainment,6.18.3
274,AMM Events & CPD,Events,Events,1.0.5
275,AND CO,Finance,Finance,2.2.0
276,AO Player,Events,Events,1.1.4
277,AO Surgery Reference,Medical,Medical,1.2.6
278,AO-EVENT,Business,Business,6.2.6
279,AOOTA Fracture Classification,Medical,Medical,1.0
280,AP App for Android,News_And_Magazines,News & Magazines,1.0
281,AP Art History Flashcards,Family,Education,3.30
282,AP Biology Prep Practice Tests Flashcards,Family,Education,1.6.7.1
283,AP Biology Study Guide  Quiz,Family,Education,1.5.1
284,AP Calculus BC Practice Test,Family,Education,6.0.2
285,AP Calculus BC Practice Tests and Flashcards,Family,Education,1.6.7.1
286,AP Chemistry Prep Practice Tests and Flashcards,Family,Education,1.6.7.1
287,AP ENPS Mobile,Productivity,Productivity,8.0.0130
288,AP English Language Practice Tests and Flashcards,Family,Education,1.6.7.1
289,AP European History Practice Tests and Flashcards,Family,Education,1.6.7.1
290,AP Flashcards,Family,Education,1.3.14
291,AP Government Review,Family,Education,1.1
292,AP Guide,Family,Education,1.3
293,AP Installer,Tools,Tools,13
294,AP Manager,Tools,Tools,1.0.8
295,AP Math & Computer Science,Family,Education,2.16
296,AP Mobile,Family,Education,1.03
297,AP Mobile - Breaking News,News_And_Magazines,News & Magazines,4.4.3
298,AP Mobile 104,Business,Business,1.2.2.0
299,AP Physics 1 Prep Practice Tests and Flashcards,Family,Education,1.6.7.1
300,AP Planner,Family,Education,1.1
301,AP Psychology Prep Practice Tests and Flashcards,Family,Education,1.6.7.1
302,AP Series Solution Pro,Family,Education,1.3
303,AP Stamps and Registration,Books_And_Reference,Books & Reference,2.0
304,AP Statistics Prep Practice Tests and Flashcards,Family,Education,1.6.7.1
305,AP Themes for KustomKLWP,Personalization,Personalization,1.8.2
306,AP World History Practice Tests and Flashcards,Family,Education,1.6.7.1
307,APE Weather  Live Forecast,Weather,Weather,7.1.34.28
308,APN Settings,Tools,Tools,6.4
309,APUS Booster - Space Cleaner & Booster,Productivity,Productivity,2.6.28
310,APUS File Manager Explorer,Tools,Tools,2.8.9.1004
311,APUS Launcher - Theme Wallpaper Hide Apps,Personalization,Personalization,3.9.7
312,AQ,Family,Education,2.4.0
313,AQ Aspergers Test,Medical,Medical,1.4.0
314,AQ Coach,Sports,Sports,1.1.0
315,AQ Dentals,Health_And_Fitness,Health & Fitness,1.0.1
316,AQ Guards,Productivity,Productivity,2.1.22
317,AQ Math Facts,Family,Educational,1.0.3
318,AQ Ria Retail,Family,Education,1.1
319,AQ SMS Notify,Tools,Tools,2.5.3
320,AQ Service,Business,Business,1.0
321,AQ wisdom,Tools,Tools,1.0.0
322,AR Remote Car,Family,Simulation,2.14
323,AR Sport Cars,Family,Simulation,1.0
324,AR Tank Battle,Game,Action,1.3
325,AR Toybox - Augmented Reality Demos,Family,Simulation,1.0.2
326,ARK Survival Evolved,Game,Adventure,1.0.90
327,ARY NEWS,News_And_Magazines,News & Magazines,7.5.0
328,ARY NEWS URDU,News_And_Magazines,News & Magazines,5.8.0
329,ARuler - AR Ruler app Measure tools,Tools,Tools,1.1.7
330,AS - Diario online deportivo Ftbol motor y ms,News_And_Magazines,News & Magazines,7.8
331,AS - News and sports results,Sports,Sports,5.1.13
332,AS Gua de las Ligas 2017-2018,Sports,Sports,1.0.10
333,ASCCP Mobile,Medical,Medical,2.1.1
334,ASCP CG Exam Flashcards 2018,Family,Education,1.0
335,ASOS,Shopping,Shopping,4.4.9
336,ASRA Coags,Medical,Medical,2.1
337,ASUS Cover for ZenFone 2,Personalization,Personalization,2.0.0.39_171124
338,ASUS Quick Memo,Productivity,Productivity,1.10.0.33_180403
339,AT&T Call Protect,Communication,Communication,1.5.13-3598
340,AT&T DriveMode,Maps_And_Navigation,Maps & Navigation,1.0.4.3
341,AT&T FamilyMap,Tools,Tools,10.1.1
342,AT&T Mobile Transfer,Productivity,Productivity,3.8.2
343,AT&T Navigator Maps Traffic,Travel_And_Local,Travel & Local,5.10.6.2.8466393
344,AT&T Smart Wi-Fi,Tools,Tools,3.2
345,AT&T THANKS,Family,Entertainment,1.4.0
346,AT&T U-verse,Family,Entertainment,5.9.0.0031
347,ATC Unico BS,Communication,Communication,0.12
348,ATI Cargoes and Transportation,Business,Business,0.9.4
349,AU Call Blocker - Block Unwanted Calls Texts 2018,Communication,Communication,1.0.4
350,AU Mobile Indonesia,Game,Music,1.8.0502
351,AU Results - AU COE Corner,Family,Education,2.2.5
352,AU Results 2017 Auzone,Family,Education,2.0
353,AU Spark,Family,Education,5.06
354,AU Students Zone Result 2016,Family,Education,1.1
355,AV,Books_And_Reference,Books & Reference,1.2
356,AV Anthonys,Food_And_Drink,Food & Drink,1.0.136
357,AV Buddy Free,Family,Education,1.2
358,AV HD Video Player,Family,Entertainment,1.0
359,AV High School District,Family,Education,5.2.002
360,AV MAX,Lifestyle,Lifestyle,7.2.2
361,AV Phone,Communication,Communication,2.1.9
362,AV Phonetics,Family,Education,1.3.2
363,AV Pro Voice Changer,Family,Entertainment,1.0.3
364,AV-IPTV,Video_Players,Video Players & Editors,1.0
365,AVG Cleaner  Speed Battery & Memory Booster,Productivity,Productivity,4.6.4
366,AW Browser with Chrome Custom Tabs,Tools,Tools,2.7
367,AW CAMERA,Tools,Tools,3.1.1
368,AW Connect,Family,Education,3.0.10
369,AW Radio,Family,Entertainment,2
370,AW Screen Recorder No Root,Video_Players,Video Players & Editors,1.1
371,AW TeamUp,News_And_Magazines,News & Magazines,1.0.3
372,AW Toolbox,Business,Business,1.6.2
373,AW Tozer Devotionals - Daily,Books_And_Reference,Books & Reference,1.0
374,AW Training,Family,Education,3.3.2
375,AX Battery Saver,Finance,Finance,1.2.3
376,AX Player -Nougat Video Player,Video_Players,Video Players & Editors,2.0
377,AX Selfie,Lifestyle,Lifestyle,1.0.0
378,AX Timesheets App for Dynamics,Business,Business,1.0.5
379,AX Video Player,Video_Players,Video Players & Editors,1.0.9
380,AX Watch for WatchMaker,Personalization,Personalization,1.0
381,AX Window,Tools,Tools,1.0.2
382,AXEIO - Brutal Survival Battleground,Game,Arcade,1.6.1
383,AXOM,Lifestyle,Lifestyle,1.3
384,AY EMLAK,Business,Business,1.0
385,AY Oakmont,Health_And_Fitness,Health & Fitness,4.2.2
386,AY Recorder - Screen Recorder Live Video Editor,Tools,Tools,2.2
387,AY Recruitment,Business,Business,1.1.1
388,AY Sing,Books_And_Reference,Books & Reference,1.6.2
389,AZ Browser Private & Download,Communication,Communication,1.4
390,AZ Camera - Manual Pro Cam,Photography,Photography,2.2
391,AZ Immune Related AEManagement,Medical,Medical,1.4
392,AZ Lottery Players Club,Family,Entertainment,2.0.09
393,AZ Mobile Gizmo,Business,Business,3.4.4
394,AZ PLAYER HD,Tools,Tools,1.0
395,AZ Plugin 2 newest,Libraries_And_Demo,Libraries & Demo,4.1.4
396,AZ Practice Test & Questions,Family,Education,1.0
397,AZ REMOTE CONTROL,Tools,Tools,1.9
398,AZ Rockets,Game,Arcade,1.2.1
399,AZ Screen Recorder pro,Tools,Tools,1.0
400,Aab e Hayat Full Novel,Books_And_Reference,Books & Reference,1.0
401,Aaj Bangla ei samay er khobor,News_And_Magazines,News & Magazines,6.7
402,Ab Workouts,Health_And_Fitness,Health & Fitness,5.1.9
403,Ab Workouts - Ab Generator,Health_And_Fitness,Health & Fitness,2.0.0
404,Abdominal CT Sectional Walker,Medical,Medical,1.1
405,Ability DS UNO,Productivity,Productivity,1.0
406,Abs Core & Back Workout Challenge,Health_And_Fitness,Health & Fitness,1.5.8
407,Abs Training-Burn belly fat,Health_And_Fitness,Health & Fitness,1.0.12
408,Abs Workout - 30 Days Fitness App for Six Pack Abs,Health_And_Fitness,Health & Fitness,1.3.8
409,Abs Workout - Burn Belly Fat with No Equipment,Health_And_Fitness,Health & Fitness,1.1.8
410,Abs workout - 21 Day Fitness Challenge,Health_And_Fitness,Health & Fitness,1.0.0.9
411,Absolute RC Heli Simulator,Sports,Sports,3.29
412,Ac remote control,Tools,Tools,1.1
413,AcDisplay,Personalization,Personalization,3.8.4
414,Access Point Browser,Tools,Tools,3.11
415,Access Point Finder,Lifestyle,Lifestyle,1.0
416,Access Point Names,Communication,Communication,1.0
417,Access Point Proximity,Tools,Tools,2.1.1
418,Account Class-11 Solutions D K Goel,Family,Education,3.0.0
419,Account Class-12 Solutions D K Goel Vol-1,Family,Education,1.0.0
420,Account Class-12 Solutions D K Goel Vol-2,Family,Education,1.0.0
421,Accounting App - Zoho Books,Business,Business,5.20.7
422,Ace Screen Recorder w facecam,Tools,Tools,1.19
423,Acorn TV World-class TV from Britain and Beyond,Entertainment,Entertainment,2.0.0
424,Across Age DX,Family,Role Playing,1.1.0
425,ActionDirector Video Editor - Edit Videos Fast,Video_Players,Video Players & Editors,2.12.0
426,Active Soccer 2 DX,Sports,Sports,1.0.3
427,Acupuncture Assistant,Medical,Medical,4.4.5
428,Ad Block REMOVER - NEED ROOT,Tools,Tools,3.2
429,Ad Blocker Turbo - Adblocker Browser,Communication,Communication,1.0.5
430,Ad Blocker for SayHi,Dating,Dating,1.2
431,Ad Detect Plugin - Handy Tool,Productivity,Productivity,1.6.3
432,Ad Detector,Tools,Tools,1.0
433,Ad Removal thereisonlywe,Productivity,Productivity,1.0
434,Ad Remove Plugin for App2SD,Productivity,Productivity,1.0.0
435,Ad-free Triangle Solver,Family,Education,6.3.1
436,AdClear Ad blocker for Samsung,Tools,Tools,1.0.5
437,AdWords Express,Business,Business,2.6.158
438,Ada - Your Health Guide,Medical,Medical,2.25.0
439,Adblock Browser for Android,Communication,Communication,1.4.0
440,Adblock Fast,Productivity,Productivity,1.4.0
441,Adblock Plus for Samsung Internet - Browse safe,Communication,Communication,1.1.4
442,Add Text To Photo,Photography,Photography,1.1.3
443,Add-On Alcatel h,Productivity,Productivity,10.0.3148
444,Add-On bq a,Productivity,Productivity,10.0.3086
445,Add-On bq b,Productivity,Productivity,10.0.3086
446,Add-On bq c,Productivity,Productivity,10.0.3086
447,Adhenarcos - Coupe Adhemar EY 2018,Family,Entertainment,1.0
448,Adivina el Emoji,Game,Trivia,1.00
449,Adivina el cantante de Trap y Reggaeton,Game,Trivia,3.6.7z
450,Adobe Fill & Sign Easy PDF Form Filler,Productivity,Productivity,1.3.0
451,Adobe Photoshop Fix,Photography,Photography,1.0.499
452,Adobe Premiere Clip,Video_Players,Video Players & Editors,1.1.4.1296
453,Adult Color By Number Book Number Coloring Pages,Family,Entertainment,2.9
454,Adult Dating - AdultFinder,Dating,Dating,1.5
455,Adult Dirty Emojis,Dating,Dating,1.0
456,Advanced Comprehension Therapy,Medical,Medical,1.2
457,Advanced Download Manager Holo,Tools,Tools,4.1.9o
458,Advanced Download Manager Pro,Tools,Tools,6.4.0
459,Advanced EX for FIAT,Tools,Tools,1.6
460,Advanced EX for HYUNDAI,Tools,Tools,1.10
461,Advanced EX for KIA,Tools,Tools,1.4
462,Advanced EX for MITSUBISHI,Tools,Tools,1.1
463,Advanced EX for NISSAN,Tools,Tools,1.3
464,Advanced EX for RENAULT,Tools,Tools,1.1
465,Advanced Task Killer,Productivity,Productivity,2.2.1B216
466,Advanced Warfare Guns,Family,Entertainment,1.2.2
467,Advanced calculator fx 991 es plus & 991 ms plus,Family,Education,3.3.1-build-02-08-2018-19-release
468,Adventure Quest World Mobile Quiz,Family,Puzzle,3.1.6z
